107,06/16/07,12:00:00,MBDY,FBON,R,
107,06/16/07,12:00:00,MBDY,FN2R,R,
107,06/16/07,12:00:00,MBDY,F2NL,R,
107,06/16/07,12:00:00,MBDY,FNWD,R,
107,06/16/07,12:00:00,MBDY,FM2N,6,
111,06/17/07,06:30:00,MBDY,F2NL,R,
111,06/17/07,06:30:00,MBDY,FNWD,2,
111,06/17/07,06:30:00,MBDY,FM2N,R,
112,06/17/07,08:30:00,MN2W,FNWD,2,
112,06/17/07,08:30:00,MN2W,FM2N,6,
113,06/17/07,10:30:00,MNGO,F2NL,R,
113,06/17/07,10:30:00,MNGO,FNWD,R,
115,06/17/07,14:00:00,MBWD,FNWD,R,
116,06/17/07,16:00:00,MYLO,F2NL,4,
116,06/17/07,16:00:00,MYLO,FM2N,R,
117,06/18/07,08:00:00,MB2M,FNWD,5,
117,06/18/07,08:00:00,MB2M,FM2N,1,
118,06/18/07,09:30:00,MYRM,F2NL,R,
118,06/18/07,09:30:00,MYRM,FNWD,R,
119,06/18/07,11:20:00,MLNR,F2NL,R,
119,06/18/07,11:20:00,MLNR,FNWD,3,
122,06/18/07,16:00:00,MMOL,F2NL,R,
122,06/18/07,16:00:00,MMOL,FNWD,6,
122,06/18/07,16:00:00,MMOL,FM2N,R,
